JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;Debit;Credit;EcritureLet;DateLet;ValidDate;Montantdevise;Idevise;1-Montant;2-Valeur Absolue;3-Mois;4-Trimestre;5-Semestre;6-Annee;7-Racine 1;8-Libellé Racine 1;9-Racine 2;10-Libellé Racine 2;11-Racine 3;12-Libellé Racine 3;13-Racine 4;14-Libellé Racine 4;15-Racine 5;16-Libellé Racine 5;17-Bilan;18-Resultat;19-Report à nouveau;20-Trésorerie;21-Banque;22-Caisse;23-Debit/Crédit;24-Encaissements / Décaissements;25-Dettes;26-;27-;29-Investissements;30-;31-;32-
AN;A-NOUVEAUX;01/01/2001;20230101;10130000;CAPITAL APPELE VERSÃ‰;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;1000;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;10610000;RÃ‰SERVE LEGALE;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;100;;;;;;100;100;;;;;1;;10;CAPITAL;106;Reserves;1061;Reserves;10610;;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;12000000;RÃ‰SULTAT DE L'EXERCICE BÃ‰NÃ‰FICE;;;Non dispo;20230101;RÃ©sultat de l'exercice;0;102615,67;;;;;;102615;102615;;;;;1;;12;NA;120;NA;1200;Resultat de l'exercice;12000;Resultat de l'exercice;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;12000000;RÃ‰SULTAT DE L'EXERCICE BÃ‰NÃ‰FICE;;;Non dispo;20230101;Distribution RÃ©sultat 2021;102615,67;0;;;;;;-102615;102615;;;;;1;;12;NA;120;NA;1200;Resultat de l'exercice;12000;Resultat de l'exercice;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;12000000;RÃ‰SULTAT DE L'EXERCICE BÃ‰NÃ‰FICE;;;Non dispo;20230101;RÃ©sultat de l'exercice;0;44803,06;;;;;;44803;44803;;;;;1;;12;NA;120;NA;1200;Resultat de l'exercice;12000;Resultat de l'exercice;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;20500000;CONCESS. BREVETS LICENCES;;;Non dispo;20230101;A-nouveaux au 01/01/2023;8000;0;;;;;;-8000;8000;;;;;2;;20;INCORPORELLES;205;Concessions et droits similaires, brevets, licences, marques, procedes, logiciels, droits et valeurs similaires;2050;;20500;;Bilan;;;;;;D;Encaissements;;;;Investissements;;;
AN;A-NOUVEAUX;01/01/2001;20230101;21810000;ISTAL./AGENC.DIVERS;;;Non dispo;20230101;A-nouveaux au 01/01/2023;19867,49;0;;;;;;-19867;19867;;;;;2;;21;CORPORELLES;218;Autres immobilisations corporelles;2181;Travaux;21810;Installations generales, agencements, amenagements divers;Bilan;;;;;;D;Encaissements;;;;Investissements;;;
AN;A-NOUVEAUX;01/01/2001;20230101;21820000;MATERIEL DE TRANSPORT;;;Non dispo;20230101;A-nouveaux au 01/01/2023;8877,76;0;;;;;;-8877;8877;;;;;2;;21;CORPORELLES;218;Autres immobilisations corporelles;2182;Materiel de transport;21820;Materiel de transport;Bilan;;;;;;D;Encaissements;;;;Investissements;;;
AN;A-NOUVEAUX;01/01/2001;20230101;21830000;MAT.BUREAU & INFORMATIQUE;;;Non dispo;20230101;A-nouveaux au 01/01/2023;28155,71;0;;;;;;-28155;28155;;;;;2;;21;CORPORELLES;218;Autres immobilisations corporelles;2183;Materiel de bureau et materiel informatique;21830;Materiel de bureau et materiel informatique;Bilan;;;;;;D;Encaissements;;;;Investissements;;;
AN;A-NOUVEAUX;01/01/2001;20230101;21840000;MOBILIER;;;Non dispo;20230101;A-nouveaux au 01/01/2023;31710,87;0;;;;;;-31710;31710;;;;;2;;21;CORPORELLES;218;Autres immobilisations corporelles;2184;Mobilier;21840;;Bilan;;;;;;D;Encaissements;;;;Investissements;;;
