JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	A-NOUVEAUX	01/01/2001	20230101	10130000	CAPITAL APPELE VERSÉ			Non dispo	20230101	A-nouveaux au 01/01/2023	0	1000					
AN	A-NOUVEAUX	01/01/2001	20230101	10610000	RÉSERVE LEGALE			Non dispo	20230101	A-nouveaux au 01/01/2023	0	100					
AN	A-NOUVEAUX	01/01/2001	20230101	12000000	RÉSULTAT DE L'EXERCICE BÉNÉFICE			Non dispo	20230101	Résultat de l'exercice	0	102615,67					
AN	A-NOUVEAUX	01/01/2001	20230101	12000000	RÉSULTAT DE L'EXERCICE BÉNÉFICE			Non dispo	20230101	Distribution Résultat 2021	102615,67	0					
AN	A-NOUVEAUX	01/01/2001	20230101	12000000	RÉSULTAT DE L'EXERCICE BÉNÉFICE			Non dispo	20230101	Résultat de l'exercice	0	44803,06					
AN	A-NOUVEAUX	01/01/2001	20230101	20500000	CONCESS. BREVETS LICENCES			Non dispo	20230101	A-nouveaux au 01/01/2023	8000	0					
AN	A-NOUVEAUX	01/01/2001	20230101	21810000	ISTAL./AGENC.DIVERS			Non dispo	20230101	A-nouveaux au 01/01/2023	19867,49	0					
AN	A-NOUVEAUX	01/01/2001	20230101	21820000	MATERIEL DE TRANSPORT			Non dispo	20230101	A-nouveaux au 01/01/2023	8877,76	0					
AN	A-NOUVEAUX	01/01/2001	20230101	21830000	MAT.BUREAU & INFORMATIQUE			Non dispo	20230101	A-nouveaux au 01/01/2023	28155,71	0					
AN	A-NOUVEAUX	01/01/2001	20230101	21840000	MOBILIER			Non dispo	20230101	A-nouveaux au 01/01/2023	31710,87	0					
AN	A-NOUVEAUX	01/01/2001	20230101	27500000	DÉPOTS & CAUTIONNEMENT			Non dispo	20230101	A-nouveaux au 01/01/2023	15725	0					
AN	A-NOUVEAUX	01/01/2001	20230101	28050000	AMORTISSEMENT LOGICIELS			Non dispo	20230101	A-nouveaux au 01/01/2023	0	3198,31					
AN	A-NOUVEAUX	01/01/2001	20230101	28181000	AMORT.AG.CONS.DIVERS			Non dispo	20230101	A-nouveaux au 01/01/2023	0	7533,34					
AN	A-NOUVEAUX	01/01/2001	20230101	28182000	AMORT.MATERIEL DE TRANSPORT			Non dispo	20230101	A-nouveaux au 01/01/2023	0	1922,44					
AN	A-NOUVEAUX	01/01/2001	20230101	28183000	AMORT.MAT.BUREAU & INFORMATIQUE			Non dispo	20230101	A-nouveaux au 01/01/2023	0	19884,89					
AN	A-NOUVEAUX	01/01/2001	20230101	28184000	AMORT. MOBILIER			Non dispo	20230101	A-nouveaux au 01/01/2023	0	12415,87					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AEI	AEI 	Non dispo	20230101	QUITTANCE EXTENSION T12023	0	13104					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AEI	AEI 	Non dispo	20230101	Facture TTBL DEPOT DE GARANTIE	0	5750					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AEI	AEI 	Non dispo	20230101	Facture FRAIS DE BAIL du 08/12/2022	0	480					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AEI	AEI 	Non dispo	20230101	Facture AEI GESTION du 22/12/2022	0	16401,6					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AEI	AEI 	Non dispo	20230101	VIR SEPA AVENIR ESPACE IMMOBILI DERNIERE ECHEANCE DU 3 TRIMESTRE 2021	1806,84	0					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AEI	AEI 	Non dispo	20230101	A-nouveaux au 01/01/2022	0	1806,84					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AMA	AMA 	Non dispo	20230101	A-nouveaux au 01/01/2022	784,21	0					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AMA	AMA 	Non dispo	20230101	AMAZON	0	126,28					
AN	A-NOUVEAUX	01/01/2001	20230101	40110000	FOURNISSEURS	AMA	AMA 	Non dispo	20230101	AMAZON	0	65,85					
