;;;;;;;;
;;;;;;;;
Input Reformulé (phrase reformatée) - pattern de questions standards;Output Reformulé;;;;;;;
Quel est le montant de ma xxx1 ?;Le montant de votre xxx1 est de vvv1 euros;;;;;;;
Quel est le montant de ma xxx1 ? Peux-tu ?;Oui je peux. Le montant de votre xxx1 est de vvv1 euros;;;;;;;
Quel est le montant de ma xxx1 ? + Méthode;Le montant de votre xxx1 est de vvv1 euros. Pour cela il faut...;;;;;;;
Quel est le montant de mes xxx1 ?;Le montant de vos xxx1 est de vvv1 euros;;;;;;;
Quel est le montant de mes xxx1 ? Peux-tu ?;Oui je peux. Le montant de vos xxx1 est de vvv1 euros;;;;;;;
Quel est le montant de mes xxx1 ? + Méthode;Le montant de vos xxx1 est de vvv1 euros. Pour cela il faut...;;;;;;;
Quel est le montant de mon xxx1 ?;Le montant de votre xxx1 est de vvv1 euros;;;;;;;
Quel est le montant de mon xxx1 ? Peux-tu ?;Oui je peux. Le montant de votre xxx1 est de vvv1 euros;;;;;;;
Quel est le montant de mon xxx1 ? + Méthode;Le montant de votre xxx1 est de vvv1 euros. Pour cela il faut...;;;;;;;
Quel est le montant de ma xxx1 hors xxx2 ?;Le montant de votre xxx1 hors xxx2 est de vvv1 euros;;;;;;;
Quel est le montant de ma xxx1 hors xxx2 ? Peux-tu ?;Oui je peux. Le montant de votre xxx1 hors xxx2 est de vvv1 euros;;;;;;;
Quel est le montant de ma xxx1 hors xxx2 ? + Méthode;Le montant de votre xxx1 hors xxx2 est de vvv1 euros. Pour cela il faut...;;;;;;;
Quel est le montant de mes xxx1 hors xxx2 ?;Le montant de vos xxx1 hors xxx2 est de vvv1 euros;;;;;;;
Quel est le montant de mes xxx1 hors xxx2 ? Peux-tu ?;Oui je peux. Le montant de vos xxx1 hors xxx2 est de vvv1 euros;;;;;;;
Quel est le montant de mes xxx1 hors xxx2 ? + Méthode;Le montant de vos xxx1 hors xxx2 est de vvv1 euros. Pour cela il faut...;;;;;;;
Quel est le montant de mon xxx1 hors xxx2 ?;Le montant de votre xxx1 hors xxx2 est de vvv1 euros;;;;;;;
Quel est le montant de mon xxx1 hors xxx2 ? Peux-tu ?; Oui je peux. Le montant de votre xxx1 hors xxx2 est de vvv1 euros;;;;;;;
Quel est le montant de mon xxx1 hors xxx2 ? + Méthode;Le montant de votre xxx1 hors xxx2 est de vvv1 euros. Pour cela il faut...;;;;;;;
Quel est le montant de ma xxx1 par mois ? Peux-tu ?;Oui je peux. Le montant de votre xxx1 par mois est de vvv1 euros;;;;;;;
Quel est le montant de ma xxx1 par mois ?;Le montant de votre xxx1 par mois est de vvv1 euros;;;;;;;
Quel est le montant de ma xxx1 par mois ? + Méthode;Le montant de votre xxx1 par mois est de vvv1 euros. Pour cela il faut...;;;;;;;
Quel est le montant de ma xxx1 par mois ? Est-ce que ?;Oui. Le montant de votre xxx1 par mois est de vvv1 euros;;;;;;;
Quel est le montant de mes xxx1 par mois ? Peux-tu ?;Oui je peux. Le montant de vos xxx1 par mois est de vvv1 euros;;;;;;;
Quel est le montant de mes xxx1 par mois ?; Le montant de vos xxx1 par mois est de vvv1 euros;;;;;;;
